state,aqi,density
Melaka,94.13,0.0004700057285704
Melaka,94.72,0.0004327406428579
Melaka,95.31,0.0003980596574106
Melaka,95.89,0.0003669095769571
Melaka,96.48,0.0003390562603487
Melaka,97.07,0.0003133988631831
Melaka,97.66,0.0002886055747404
Melaka,98.25,0.000264173071801
Melaka,98.83,0.0002412669913188
Melaka,99.42,0.0002224962178119
Melaka,100.01,0.0002104981396527
Melaka,100.6,0.000206221047254
Melaka,101.19,0.000208160369152
Melaka,101.77,0.0002130762996089
Melaka,102.36,0.0002175131913672
Melaka,102.95,0.0002189850612844
Melaka,103.54,0.0002163310443611
Melaka,104.13,0.0002095571837252
Melaka,104.71,0.0001995995030566
Melaka,105.3,0.0001880519358681
Melaka,105.89,0.0001766986665022
Melaka,106.48,0.0001669101370846
Melaka,107.07,0.0001592411036866
Melaka,107.65,0.0001535182276436
Melaka,108.24,0.0001493494354312
Melaka,108.83,0.0001466555164971
Melaka,109.42,0.0001457780196122
Melaka,110.01,0.0001469929479428
Melaka,110.59,0.0001497400903018
Melaka,111.18,0.0001522872414539
Melaka,111.77,0.0001524274781343
Melaka,112.36,0.0001489406883534
Melaka,112.94,0.0001426079690877
Melaka,113.53,0.0001357200873349
Melaka,114.12,0.0001304046533666
Melaka,114.71,0.00012725579861
Melaka,115.3,0.000125340012287
Melaka,115.88,0.000123209676028
Melaka,116.47,0.0001197760332636
Melaka,117.06,0.0001144462183803
Melaka,117.65,0.000106850668063
Melaka,118.24,9.670356127541566e-05
Melaka,118.82,8.39397773804784e-05
Melaka,119.41,6.895974073194631e-05
Melaka,120.0,5.279694632541381e-05
Kedah,1.0,4.524724888062626e-05
Kedah,1.6,6.67272919101509e-05
Kedah,2.2,8.959758972776989e-05
Kedah,2.79,0.0001113257865626
Kedah,3.39,0.0001308969414825
Kedah,3.99,0.0001503921185447
Kedah,4.59,0.0001754569395548
Kedah,5.19,0.0002145222065424
Kedah,5.78,0.0002780008976575
Kedah,6.38,0.0003782054398811
Kedah,6.98,0.0005287634203688
Kedah,7.58,0.0007426176186893
Kedah,8.18,0.0010302567687463
Kedah,8.77,0.0013996670413538
Kedah,9.37,0.0018566000378769
Kedah,9.97,0.0024037881370752
Kedah,10.57,0.003040642205087
Kedah,11.17,0.0037648642494833
Kedah,11.76,0.004573716425949
Kedah,12.36,0.0054612468379164
Kedah,12.96,0.0064123169439467
Kedah,13.56,0.0074008235954845
Kedah,14.16,0.0083983027545986
Kedah,14.75,0.0093872350167583
Kedah,15.35,0.0103652617980229
Kedah,15.95,0.0113362016649395
Kedah,16.55,0.0122986293922945
Kedah,17.15,0.0132402799929872
Kedah,17.74,0.0141342857820921
Kedah,18.34,0.0149382369628688
Kedah,18.94,0.015611188133814
Kedah,19.54,0.0161482305616458
Kedah,20.14,0.016596851200711
Kedah,20.73,0.0170264422825171
Kedah,21.33,0.0174761233444122
Kedah,21.93,0.0179318904886471
Kedah,22.53,0.0183496025960581
Kedah,23.13,0.0186941759275693
Kedah,23.72,0.0189552811426804
Kedah,24.32,0.0191313960808043
Kedah,24.92,0.0192150597749331
Kedah,25.52,0.0192080324242369
Kedah,26.12,0.0191448833170675
Kedah,26.71,0.0190859689478108
Kedah,27.31,0.0190866821157382
Kedah,27.91,0.0191816467380406
Kedah,28.51,0.0193909975349931
Kedah,29.11,0.0197198434861323
Kedah,29.7,0.0201392041723958
Kedah,30.3,0.0205754905752188
Kedah,30.9,0.0209354119551109
Kedah,31.5,0.0211533471435762
Kedah,32.1,0.0212205825217044
Kedah,32.69,0.021173137388926
Kedah,33.29,0.0210552149639903
Kedah,33.89,0.0208933332054467
Kedah,34.49,0.0206957140381877
Kedah,35.09,0.0204623562317274
Kedah,35.68,0.0201896744779029
Kedah,36.28,0.0198728123379103
Kedah,36.88,0.0195138064629751
Kedah,37.48,0.0191300019707441
Kedah,38.08,0.0187514000534019
Kedah,38.67,0.0184070612849404
Kedah,39.27,0.0181124891485515
Kedah,39.87,0.0178685084676115
Kedah,40.47,0.0176686809300314
Kedah,41.07,0.0175020739365877
Kedah,41.66,0.0173481132083519
Kedah,42.26,0.0171780995877613
Kedah,42.86,0.0169722423258732
Kedah,43.46,0.0167365490039084
Kedah,44.06,0.0164994363610941
Kedah,44.65,0.0162907696214591
Kedah,45.25,0.0161224258537037
Kedah,45.85,0.0159827294241324
Kedah,46.45,0.015847223111667
Kedah,47.05,0.0157082741249927
Kedah,47.64,0.015621642067895
Kedah,48.24,0.0157518904818772
Kedah,48.84,0.016381126132155
Kedah,49.44,0.0178348788776872
Kedah,50.04,0.0203013311084367
Kedah,50.63,0.0236147204623584
Kedah,51.23,0.0271816470685103
Kedah,51.83,0.0301860452425214
Kedah,52.43,0.0319770280003776
Kedah,53.03,0.0323521281628247
Kedah,53.62,0.0315384410672836
Kedah,54.22,0.0299561491010264
Kedah,54.82,0.0279966252609382
Kedah,55.42,0.0259378520835757
Kedah,56.02,0.023953615156471
Kedah,56.61,0.0221377594262309
Kedah,57.21,0.0205206640340162
Kedah,57.81,0.0190860678893466
Kedah,58.41,0.0177873721689356
Kedah,59.01,0.0165612849947649
Kedah,59.6,0.0153473047122868
Kedah,60.2,0.0141145166450806
Kedah,60.8,0.0128777651675335
Kedah,61.4,0.0116859235312343
Kedah,61.99,0.0105894669172733
Kedah,62.59,0.0096129847877318
Kedah,63.19,0.0087508074430258
Kedah,63.79,0.0079824424103355
Kedah,64.39,0.007290951261038
Kedah,64.98,0.0066700420499674
Kedah,65.58,0.0061184244829927
Kedah,66.18,0.0056304349577176
Kedah,66.78,0.0051915500055563
Kedah,67.38,0.004780906642405
Kedah,67.97,0.0043793750883951
Kedah,68.57,0.0039793404167731
Kedah,69.17,0.0035883088731522
Kedah,69.77,0.0032210101109137
Kedah,70.37,0.0028863675789454
Kedah,70.96,0.0025820284701202
Kedah,71.56,0.0023004313864842
Kedah,72.16,0.0020381577816514
Kedah,72.76,0.0017996325330971
Kedah,73.36,0.001594633631296
Kedah,73.95,0.0014337007294334
Kedah,74.55,0.0013233130496901
Kedah,75.15,0.0012611121427513
Kedah,75.75,0.001233671395702
Kedah,76.35,0.0012202551851926
Kedah,76.94,0.0012018274832342
Kedah,77.54,0.0011689884861016
Kedah,78.14,0.001122494454415
Kedah,78.74,0.0010668851035477
Kedah,79.34,0.0010042674977187
Kedah,79.93,0.0009339636053459
Kedah,80.53,0.0008566517129494
Kedah,81.13,0.000777476110579
Kedah,81.73,0.0007048739582889
Kedah,82.33,0.0006461991227859
Kedah,82.92,0.0006032850509047
Kedah,83.52,0.0005710706022785
Kedah,84.12,0.0005408979196953
Kedah,84.72,0.0005064422951162
Kedah,85.32,0.000467331497773
Kedah,85.91,0.000427821923126
Kedah,86.51,0.0003929694019288
Kedah,87.11,0.0003659496505574
Kedah,87.71,0.0003473717739179
Kedah,88.31,0.0003356108181786
Kedah,88.9,0.0003277117466069
Kedah,89.5,0.0003207590135558
Kedah,90.1,0.0003129626849931
Kedah,90.7,0.0003036739524183
Kedah,91.3,0.000292637547799
Kedah,91.89,0.0002795601584294
Kedah,92.49,0.0002644938824276
Kedah,93.09,0.0002484091204393
Kedah,93.69,0.0002329974903252
Kedah,94.29,0.0002195181519334
Kedah,94.88,0.0002076530191593
Kedah,95.48,0.0001957642939942
Kedah,96.08,0.0001828079601531
Kedah,96.68,0.0001700369047239
