shapeISO,state,aqi,date,shapeISO.1
MY-10,Selangor,35.94,2018-04-01,null
MY-10,Selangor,32.96,2018-05-01,null
MY-10,Selangor,31.67,2018-06-01,null
MY-10,Selangor,33.95,2018-07-01,null
MY-10,Selangor,53.34,2018-08-01,null
MY-10,Selangor,62.51,2018-09-01,null
MY-10,Selangor,56.71,2018-10-01,null
MY-10,Selangor,55.41,2018-11-01,null
MY-10,Selangor,54.7,2018-12-01,null
MY-10,Selangor,57.62,2019-01-01,null
MY-10,Selangor,61.87,2019-02-01,null
MY-10,Selangor,68.94,2019-03-01,null
MY-10,Selangor,62.9,2019-04-01,null
MY-10,Selangor,57.86,2019-05-01,null
MY-10,Selangor,56.7,2019-06-01,null
MY-10,Selangor,63.6,2019-07-01,null
MY-10,Selangor,72.8,2019-08-01,null
MY-10,Selangor,106.42,2019-09-01,null
MY-10,Selangor,61.5,2019-10-01,null
MY-10,Selangor,56.31,2019-11-01,null
MY-10,Selangor,53.51,2019-12-01,null
MY-10,Selangor,55.34,2020-01-01,null
MY-10,Selangor,54.4,2020-02-01,null
MY-10,Selangor,57.29,2020-03-01,null
MY-10,Selangor,49.91,2020-04-01,null
MY-10,Selangor,52.5,2020-05-01,null
MY-10,Selangor,56.03,2020-06-01,null
MY-10,Selangor,59.68,2020-07-01,null
MY-10,Selangor,62.99,2020-08-01,null
MY-10,Selangor,56.74,2020-09-01,null
MY-10,Selangor,58.26,2020-10-01,null
MY-10,Selangor,57.58,2020-11-01,null
MY-10,Selangor,60.2,2020-12-01,null
MY-10,Selangor,60.59,2021-01-01,null
MY-10,Selangor,67.87,2021-02-01,null
MY-10,Selangor,65.57,2021-03-01,null
MY-10,Selangor,61.68,2021-04-01,null
MY-10,Selangor,66.06,2021-05-01,null
MY-10,Selangor,61.36,2021-06-01,null
MY-10,Selangor,62.69,2021-07-01,null
MY-10,Selangor,57.29,2021-08-01,null
MY-10,Selangor,59.12,2021-09-01,null
MY-10,Selangor,64.22,2021-10-01,null
MY-10,Selangor,58.3,2021-11-01,null
MY-10,Selangor,63.16,2021-12-01,null
MY-10,Selangor,65.08,2022-01-01,null
MY-10,Selangor,57.85,2022-02-01,null
MY-10,Selangor,59.2,2022-03-01,null
MY-10,Selangor,62.46,2022-04-01,null
MY-10,Selangor,58.83,2022-05-01,null
MY-10,Selangor,null,2015-07-01,null
MY-10,Selangor,null,2015-08-01,null
MY-10,Selangor,null,2015-09-01,null
MY-10,Selangor,null,2015-10-01,null
MY-10,Selangor,null,2015-11-01,null
MY-10,Selangor,null,2015-12-01,null
MY-10,Selangor,null,2016-01-01,null
MY-10,Selangor,null,2016-02-01,null
MY-10,Selangor,null,2016-03-01,null
MY-10,Selangor,null,2016-04-01,null
MY-10,Selangor,null,2016-05-01,null
MY-10,Selangor,null,2016-06-01,null
MY-10,Selangor,null,2016-07-01,null
MY-10,Selangor,null,2016-08-01,null
MY-10,Selangor,null,2016-09-01,null
MY-10,Selangor,null,2016-10-01,null
MY-10,Selangor,null,2016-11-01,null
MY-10,Selangor,null,2016-12-01,null
MY-01,Johor,43.89,2005-10-01,null
MY-01,Johor,39.46,2005-11-01,null
MY-01,Johor,37.03,2005-12-01,null
MY-01,Johor,39.4,2006-01-01,null
MY-01,Johor,39.96,2006-02-01,null
MY-01,Johor,50.92,2006-03-01,null
MY-01,Johor,48.34,2006-04-01,null
MY-01,Johor,51.32,2006-05-01,null
MY-01,Johor,50.98,2006-06-01,null
MY-01,Johor,52.72,2006-07-01,null
MY-01,Johor,59.54,2006-08-01,null
MY-01,Johor,55.89,2006-09-01,null
MY-01,Johor,77.54,2006-10-01,null
MY-01,Johor,45.41,2006-11-01,null
MY-01,Johor,39.89,2006-12-01,null
MY-01,Johor,41.33,2007-01-01,null
MY-01,Johor,46.94,2007-02-01,null
MY-01,Johor,50.11,2007-03-01,null
MY-01,Johor,48.74,2007-04-01,null
MY-01,Johor,47.66,2007-05-01,null
MY-01,Johor,52.66,2007-06-01,null
MY-01,Johor,51.06,2007-07-01,null
MY-01,Johor,53.41,2007-08-01,null
MY-01,Johor,50.02,2007-09-01,null
MY-01,Johor,48.92,2007-10-01,null
MY-01,Johor,45.27,2007-11-01,null
MY-01,Johor,39.53,2007-12-01,null
MY-01,Johor,39.91,2008-01-01,null
MY-01,Johor,44.76,2008-02-01,null
MY-01,Johor,39.62,2008-03-01,null
MY-01,Johor,47.44,2008-04-01,null
MY-01,Johor,51.73,2008-05-01,null
MY-01,Johor,46.7,2008-06-01,null
MY-01,Johor,47.37,2008-07-01,null
MY-01,Johor,49.65,2008-08-01,null
MY-01,Johor,46.18,2008-09-01,null
MY-01,Johor,47.86,2008-10-01,null
MY-01,Johor,45.34,2008-11-01,null
MY-01,Johor,42.06,2008-12-01,null
MY-01,Johor,43.79,2009-01-01,null
MY-01,Johor,46.18,2009-02-01,null
MY-01,Johor,40.2,2009-03-01,null
MY-01,Johor,45.6,2009-04-01,null
MY-01,Johor,50.64,2009-05-01,null
MY-01,Johor,50.26,2009-06-01,null
MY-01,Johor,57.75,2009-07-01,null
MY-01,Johor,52.89,2009-08-01,null
MY-01,Johor,55.98,2009-09-01,null
MY-01,Johor,51.58,2009-10-01,null
MY-01,Johor,39.69,2009-11-01,null
MY-01,Johor,37.66,2009-12-01,null
MY-01,Johor,38.54,2010-01-01,null
MY-01,Johor,41.29,2010-02-01,null
MY-01,Johor,45.5,2010-03-01,null
MY-01,Johor,41.06,2010-04-01,null
MY-01,Johor,42.88,2010-05-01,null
MY-01,Johor,45.88,2010-06-01,null
MY-01,Johor,46.99,2010-07-01,null
MY-01,Johor,42.37,2010-08-01,null
MY-01,Johor,46.27,2010-09-01,null
MY-01,Johor,59.22,2010-10-01,null
MY-01,Johor,44.56,2010-11-01,null
MY-01,Johor,37.79,2010-12-01,null
MY-01,Johor,39.02,2011-01-01,null
MY-01,Johor,43.21,2011-02-01,null
MY-01,Johor,40.83,2011-03-01,null
MY-01,Johor,43.59,2011-04-01,null
MY-01,Johor,50.27,2011-05-01,null
MY-01,Johor,51.55,2011-06-01,null
MY-01,Johor,49.06,2011-07-01,null
MY-01,Johor,52.56,2011-08-01,null
MY-01,Johor,53.22,2011-09-01,null
MY-01,Johor,46.94,2011-10-01,null
MY-01,Johor,38.41,2011-11-01,null
MY-01,Johor,37.15,2011-12-01,null
MY-01,Johor,39.1,2012-01-01,null
MY-01,Johor,38.9,2012-02-01,null
MY-01,Johor,42.22,2012-03-01,null
MY-01,Johor,47.03,2012-04-01,null
MY-01,Johor,45.93,2012-05-01,null
MY-01,Johor,47.95,2012-06-01,null
MY-01,Johor,47.08,2012-07-01,null
MY-01,Johor,51.59,2012-08-01,null
MY-01,Johor,56.63,2012-09-01,null
MY-01,Johor,48.87,2012-10-01,null
MY-01,Johor,41.4,2012-11-01,null
MY-01,Johor,34.18,2012-12-01,null
MY-01,Johor,37.62,2013-01-01,null
MY-01,Johor,30.39,2013-02-01,null
MY-01,Johor,41.08,2013-03-01,null
MY-01,Johor,46.55,2013-04-01,null
MY-01,Johor,47.47,2013-05-01,null
MY-01,Johor,78.71,2013-06-01,null
MY-01,Johor,45.93,2013-07-01,null
MY-01,Johor,44.56,2013-08-01,null
MY-01,Johor,44.2,2013-09-01,null
MY-01,Johor,45.71,2013-10-01,null
MY-01,Johor,37.95,2013-11-01,null
MY-01,Johor,31.27,2013-12-01,null
MY-01,Johor,41.13,2014-01-01,null
MY-01,Johor,40.58,2014-02-01,null
MY-01,Johor,46.49,2014-03-01,null
MY-01,Johor,43.79,2014-04-01,null
MY-01,Johor,41.32,2014-05-01,null
MY-01,Johor,42.52,2014-06-01,null
MY-01,Johor,43.14,2014-07-01,null
MY-01,Johor,37.9,2014-08-01,null
MY-01,Johor,54.07,2014-09-01,null
MY-01,Johor,55.49,2014-10-01,null
MY-01,Johor,40.17,2014-11-01,null
MY-01,Johor,35.77,2014-12-01,null
MY-01,Johor,45.0,2015-01-01,null
MY-01,Johor,44.77,2015-02-01,null
MY-01,Johor,46.32,2015-03-01,null
MY-01,Johor,45.72,2015-04-01,null
MY-01,Johor,45.91,2015-05-01,null
MY-01,Johor,42.26,2015-06-01,null
MY-01,Johor,34.41,2017-01-01,null
MY-01,Johor,38.37,2017-02-01,null
MY-01,Johor,40.43,2017-03-01,null
MY-01,Johor,31.77,2017-04-01,null
MY-01,Johor,23.64,2017-05-01,null
MY-01,Johor,25.95,2017-06-01,null
MY-01,Johor,26.08,2017-07-01,null
MY-01,Johor,25.57,2017-08-01,null
MY-01,Johor,25.83,2017-09-01,null
MY-01,Johor,28.06,2017-10-01,null
MY-01,Johor,21.76,2017-11-01,null
MY-01,Johor,22.94,2017-12-01,null
MY-01,Johor,17.78,2018-01-01,null
MY-01,Johor,26.56,2018-02-01,null
MY-01,Johor,22.94,2018-03-01,null
MY-01,Johor,24.96,2018-04-01,null
MY-01,Johor,24.82,2018-05-01,null
MY-01,Johor,25.36,2018-06-01,null
MY-01,Johor,28.23,2018-07-01,null
MY-01,Johor,45.13,2018-08-01,null
MY-01,Johor,57.54,2018-09-01,null
MY-01,Johor,53.49,2018-10-01,null
MY-01,Johor,46.98,2018-11-01,null
MY-01,Johor,43.24,2018-12-01,null
MY-01,Johor,42.97,2019-01-01,null
MY-01,Johor,46.85,2019-02-01,null
MY-01,Johor,60.46,2019-03-01,null
MY-01,Johor,54.84,2019-04-01,null
MY-01,Johor,55.68,2019-05-01,null
MY-01,Johor,48.49,2019-06-01,null
MY-01,Johor,56.24,2019-07-01,null
MY-01,Johor,64.18,2019-08-01,null
MY-01,Johor,84.81,2019-09-01,null
MY-01,Johor,56.35,2019-10-01,null
MY-01,Johor,52.03,2019-11-01,null
MY-01,Johor,34.15,2019-12-01,null
MY-01,Johor,36.82,2020-01-01,null
MY-01,Johor,37.12,2020-02-01,null
MY-01,Johor,45.22,2020-03-01,null
MY-01,Johor,41.84,2020-04-01,null
MY-01,Johor,42.19,2020-05-01,null
MY-01,Johor,43.21,2020-06-01,null
MY-01,Johor,41.14,2020-07-01,null
MY-01,Johor,48.69,2020-08-01,null
MY-01,Johor,43.35,2020-09-01,null
MY-01,Johor,48.99,2020-10-01,null
MY-01,Johor,39.12,2020-11-01,null
MY-01,Johor,41.06,2020-12-01,null
MY-01,Johor,35.99,2021-01-01,null
MY-01,Johor,50.66,2021-02-01,null
