date,station,aqi,lat,lon,state,country
2006-05-01,Alor Setar,35.48,6.137244,100.346815,Kedah,Malaysia
2006-06-01,Alor Setar,35.48,6.137244,100.346815,Kedah,Malaysia
2006-07-01,Alor Setar,46.97,6.137244,100.346815,Kedah,Malaysia
2006-08-01,Alor Setar,42.43,6.137244,100.346815,Kedah,Malaysia
2006-09-01,Alor Setar,33.27,6.137244,100.346815,Kedah,Malaysia
2006-10-01,Alor Setar,36.43,6.137244,100.346815,Kedah,Malaysia
2006-11-01,Alor Setar,29.62,6.137244,100.346815,Kedah,Malaysia
2006-12-01,Alor Setar,37.11,6.137244,100.346815,Kedah,Malaysia
2007-01-01,Alor Setar,37.59,6.137244,100.346815,Kedah,Malaysia
2007-02-01,Alor Setar,40.36,6.137244,100.346815,Kedah,Malaysia
2007-03-01,Alor Setar,37.35,6.137244,100.346815,Kedah,Malaysia
2007-04-01,Alor Setar,31.77,6.137244,100.346815,Kedah,Malaysia
2007-05-01,Alor Setar,34.38,6.137244,100.346815,Kedah,Malaysia
2007-06-01,Alor Setar,35.14,6.137244,100.346815,Kedah,Malaysia
2007-07-01,Alor Setar,37.08,6.137244,100.346815,Kedah,Malaysia
2007-08-01,Alor Setar,39.94,6.137244,100.346815,Kedah,Malaysia
2007-09-01,Alor Setar,33.95,6.137244,100.346815,Kedah,Malaysia
2007-10-01,Alor Setar,26.65,6.137244,100.346815,Kedah,Malaysia
2007-11-01,Alor Setar,34.23,6.137244,100.346815,Kedah,Malaysia
2007-12-01,Alor Setar,27.61,6.137244,100.346815,Kedah,Malaysia
2008-01-01,Alor Setar,35.92,6.137244,100.346815,Kedah,Malaysia
2008-02-01,Alor Setar,44.1,6.137244,100.346815,Kedah,Malaysia
2008-03-01,Alor Setar,35.28,6.137244,100.346815,Kedah,Malaysia
2008-04-01,Alor Setar,34.22,6.137244,100.346815,Kedah,Malaysia
2008-05-01,Alor Setar,38.74,6.137244,100.346815,Kedah,Malaysia
2008-06-01,Alor Setar,38.27,6.137244,100.346815,Kedah,Malaysia
2008-07-01,Alor Setar,41.07,6.137244,100.346815,Kedah,Malaysia
2008-08-01,Alor Setar,51.61,6.137244,100.346815,Kedah,Malaysia
2008-09-01,Alor Setar,37.91,6.137244,100.346815,Kedah,Malaysia
2008-10-01,Alor Setar,29.26,6.137244,100.346815,Kedah,Malaysia
2008-11-01,Alor Setar,33.0,6.137244,100.346815,Kedah,Malaysia
2008-12-01,Alor Setar,35.9,6.137244,100.346815,Kedah,Malaysia
2009-01-01,Alor Setar,42.97,6.137244,100.346815,Kedah,Malaysia
2009-02-01,Alor Setar,48.94,6.137244,100.346815,Kedah,Malaysia
2009-03-01,Alor Setar,30.53,6.137244,100.346815,Kedah,Malaysia
2009-04-01,Alor Setar,25.09,6.137244,100.346815,Kedah,Malaysia
2009-05-01,Alor Setar,34.8,6.137244,100.346815,Kedah,Malaysia
2009-06-01,Alor Setar,49.91,6.137244,100.346815,Kedah,Malaysia
2009-07-01,Alor Setar,51.66,6.137244,100.346815,Kedah,Malaysia
2009-08-01,Alor Setar,38.27,6.137244,100.346815,Kedah,Malaysia
2009-09-01,Alor Setar,33.26,6.137244,100.346815,Kedah,Malaysia
2009-10-01,Alor Setar,25.0,6.137244,100.346815,Kedah,Malaysia
2009-11-01,Alor Setar,22.59,6.137244,100.346815,Kedah,Malaysia
2009-12-01,Alor Setar,33.26,6.137244,100.346815,Kedah,Malaysia
2010-01-01,Alor Setar,36.97,6.137244,100.346815,Kedah,Malaysia
2010-02-01,Alor Setar,37.94,6.137244,100.346815,Kedah,Malaysia
2010-03-01,Alor Setar,34.5,6.137244,100.346815,Kedah,Malaysia
2010-04-01,Alor Setar,29.08,6.137244,100.346815,Kedah,Malaysia
2010-05-01,Alor Setar,26.42,6.137244,100.346815,Kedah,Malaysia
2010-06-01,Alor Setar,21.28,6.137244,100.346815,Kedah,Malaysia
2010-07-01,Alor Setar,26.27,6.137244,100.346815,Kedah,Malaysia
2010-08-01,Alor Setar,34.17,6.137244,100.346815,Kedah,Malaysia
2010-09-01,Alor Setar,24.27,6.137244,100.346815,Kedah,Malaysia
2010-10-01,Alor Setar,32.42,6.137244,100.346815,Kedah,Malaysia
2010-11-01,Alor Setar,25.82,6.137244,100.346815,Kedah,Malaysia
2010-12-01,Alor Setar,27.8,6.137244,100.346815,Kedah,Malaysia
2011-01-01,Alor Setar,30.33,6.137244,100.346815,Kedah,Malaysia
2011-02-01,Alor Setar,39.15,6.137244,100.346815,Kedah,Malaysia
2011-03-01,Alor Setar,33.53,6.137244,100.346815,Kedah,Malaysia
2011-04-01,Alor Setar,40.37,6.137244,100.346815,Kedah,Malaysia
2011-05-01,Alor Setar,33.3,6.137244,100.346815,Kedah,Malaysia
2011-06-01,Alor Setar,39.3,6.137244,100.346815,Kedah,Malaysia
2011-07-01,Alor Setar,50.38,6.137244,100.346815,Kedah,Malaysia
2011-08-01,Alor Setar,39.6,6.137244,100.346815,Kedah,Malaysia
2011-09-01,Alor Setar,43.72,6.137244,100.346815,Kedah,Malaysia
2011-10-01,Alor Setar,28.35,6.137244,100.346815,Kedah,Malaysia
2011-11-01,Alor Setar,27.73,6.137244,100.346815,Kedah,Malaysia
